Lat,Lon,Adjusted Rad
40.84,-98.53351,This time is unavaliable
40.83989,-98.53384,This time is unavaliable
40.83974,-98.53428,This time is unavaliable
40.83962,-98.53467,This time is unavaliable
40.83949,-98.53507,This time is unavaliable
40.83935,-98.53554,This time is unavaliable
40.83922,-98.53599,This time is unavaliable
40.83912,-98.53634,This time is unavaliable
40.83902,-98.53666,This time is unavaliable
40.8388,-98.5374,This time is unavaliable
40.83861,-98.53804,This time is unavaliable
40.83844,-98.5386,This time is unavaliable
40.83817,-98.53954,This time is unavaliable
40.83792,-98.54038,This time is unavaliable
40.83765,-98.54128,This time is unavaliable
40.83719,-98.54285,This time is unavaliable
40.83507,-98.54998,This time is unavaliable
40.83486,-98.55069,This time is unavaliable
40.83442,-98.55227,This time is unavaliable
40.83383,-98.55433,This time is unavaliable
40.83369,-98.55479,This time is unavaliable
40.83353,-98.55534,This time is unavaliable
40.8331,-98.55675,This time is unavaliable
40.8329,-98.55745,This time is unavaliable
40.83283,-98.55767,This time is unavaliable
40.82962,-98.56846,This time is unavaliable
40.82944,-98.56905,This time is unavaliable
40.82896,-98.57066,This time is unavaliable
40.82878,-98.57128,This time is unavaliable
40.8286,-98.57189,This time is unavaliable
40.82841,-98.57253,This time is unavaliable
40.82818,-98.57329,This time is unavaliable
40.82774,-98.57473,This time is unavaliable
40.8276,-98.57522,This time is unavaliable
40.82736,-98.57604,This time is unavaliable
40.82716,-98.57671,This time is unavaliable
40.82682,-98.57785,This time is unavaliable
40.82653,-98.57882,This time is unavaliable
40.82629,-98.57963,This time is unavaliable
40.82617,-98.58004,This time is unavaliable
40.82598,-98.58066,This time is unavaliable
40.82574,-98.58148,This time is unavaliable
40.82555,-98.58212,This time is unavaliable
40.82506,-98.58377,This time is unavaliable
40.8249,-98.58433,This time is unavaliable
40.82481,-98.58463,This time is unavaliable
40.82471,-98.58497,This time is unavaliable
40.82464,-98.5852,This time is unavaliable
40.82452,-98.5856,This time is unavaliable
40.82449,-98.58578,This time is unavaliable
40.82434,-98.58632,This time is unavaliable
40.82419,-98.58687,This time is unavaliable
40.82404,-98.58743,This time is unavaliable
40.82401,-98.58755,This time is unavaliable
40.82386,-98.5881,This time is unavaliable
40.82365,-98.58887,This time is unavaliable
40.82347,-98.58945,This time is unavaliable
40.8234,-98.5896,This time is unavaliable
40.82304,-98.59089,This time is unavaliable
40.82284,-98.59165,This time is unavaliable
40.82254,-98.59272,This time is unavaliable
40.82235,-98.59341,This time is unavaliable
40.82215,-98.59409,This time is unavaliable
40.82162,-98.59603,This time is unavaliable
40.82119,-98.59758,This time is unavaliable
40.82093,-98.5985,This time is unavaliable
40.82091,-98.59868,This time is unavaliable
40.82085,-98.59888,This time is unavaliable
40.82058,-98.59982,This time is unavaliable
40.82046,-98.60022,This time is unavaliable
40.82032,-98.60067,This time is unavaliable
40.82004,-98.60161,This time is unavaliable
40.81995,-98.6019,This time is unavaliable
40.81989,-98.602,This time is unavaliable
40.81982,-98.60223,This time is unavaliable
40.81975,-98.60241,This time is unavaliable
40.81967,-98.60263,This time is unavaliable
40.81953,-98.60299,This time is unavaliable
40.81901,-98.60437,This time is unavaliable
40.81892,-98.60463,This time is unavaliable
40.8189,-98.60474,This time is unavaliable
40.81885,-98.6049,This time is unavaliable
40.81864,-98.60555,This time is unavaliable
40.81832,-98.60659,This time is unavaliable
40.81829,-98.60671,This time is unavaliable
40.81809,-98.60742,This time is unavaliable
40.81804,-98.6076,This time is unavaliable
40.81786,-98.60819,This time is unavaliable
40.8173,-98.60997,This time is unavaliable
40.81723,-98.61012,This time is unavaliable
40.81698,-98.61094,This time is unavaliable
40.81689,-98.61126,This time is unavaliable
40.81673,-98.6118,This time is unavaliable
40.81649,-98.61261,This time is unavaliable
40.8163,-98.61325,This time is unavaliable
40.81602,-98.61418,This time is unavaliable
40.81564,-98.61548,This time is unavaliable
40.81525,-98.61677,This time is unavaliable
40.81513,-98.61719,This time is unavaliable
40.81235,-98.62656,This time is unavaliable
40.81153,-98.62932,This time is unavaliable
40.81146,-98.62954,This time is unavaliable
40.80976,-98.6353,This time is unavaliable
40.80876,-98.63865,This time is unavaliable
40.80666,-98.64573,This time is unavaliable
40.80642,-98.64653,This time is unavaliable
40.80596,-98.64808,This time is unavaliable
40.80543,-98.64985,This time is unavaliable
40.80512,-98.6509,This time is unavaliable
40.80484,-98.65182,This time is unavaliable
40.8044,-98.65332,This time is unavaliable
40.80319,-98.65735,This time is unavaliable
40.80291,-98.65831,This time is unavaliable
40.80249,-98.65973,This time is unavaliable
40.80103,-98.66462,This time is unavaliable
40.80083,-98.66529,This time is unavaliable
40.80076,-98.66551,This time is unavaliable
40.79879,-98.67214,461.77918911656826
40.79714,-98.67767,This time is unavaliable
40.79708,-98.67789,This time is unavaliable
40.79534,-98.68372,This time is unavaliable
40.78964,-98.70282,462.10272512600125
40.78827,-98.70743,462.14898924767004
40.78784,-98.70887,462.1563405613031
40.78756,-98.70982,462.1881180289798
40.78736,-98.71049,462.16859080125886
40.7873,-98.71068,462.15954872654135
40.78658,-98.7131,462.22318229483113
40.78654,-98.71324,462.22019746629906
40.78651,-98.71336,462.21944405700253
40.78646,-98.71356,462.22292160308825
40.78641,-98.71374,462.2316127464935
40.78638,-98.71388,462.2362323277134
40.78634,-98.71404,462.2411243345993
40.78631,-98.71421,462.244010470008
40.78627,-98.71438,462.2417629047381
40.78625,-98.71453,462.23771520125365
40.78622,-98.71465,462.234623992931
40.7862,-98.71481,462.22894573962503
40.78618,-98.71494,462.22856412126697
40.78615,-98.7151,462.24422194109525
40.78613,-98.71523,462.25776409502356
40.78611,-98.71539,462.2751281114532
40.7861,-98.71553,462.29029344198335
40.78608,-98.71571,462.30038824064184
40.78606,-98.71586,462.30458570838044
40.78605,-98.71604,462.3068537831058
40.78604,-98.71617,462.30813898237403
40.78602,-98.71634,462.30879012371213
40.78602,-98.71647,462.3081060979789
40.78601,-98.71662,462.30709350037233
40.786,-98.71679,462.3059447593748
40.786,-98.71695,462.3050747814864
40.786,-98.71707,462.305519732115
40.786,-98.71848,462.31469429922674
40.786,-98.71908,462.3242008182454
40.78599,-98.7195,462.3320139874747
40.786,-98.71955,462.3332656202595
40.786,-98.71956,462.3334582048026
40.78601,-98.71957,462.33390297289213
40.78601,-98.7196,462.3344674441282
40.786,-98.71976,462.3328472467991
40.78599,-98.71991,462.3220094784191
40.78598,-98.72007,462.3107996750451
40.78597,-98.72026,462.2978696769296
40.78595,-98.72043,462.29019946350553
40.78593,-98.72061,462.2954562503364
40.7859,-98.72081,462.3018820041136
40.78585,-98.72108,462.31139281010525
40.78571,-98.72177,462.3416479270418
40.78567,-98.72192,462.3378334194922
40.78563,-98.72209,462.3329065294634
40.78556,-98.72232,462.3261704168411
40.78551,-98.72249,462.3220604336202
40.78545,-98.72265,462.3234925369638
40.78537,-98.72285,462.3242475730553
40.78526,-98.72315,462.32944926621
40.78506,-98.72359,462.3394538560573
40.78501,-98.7237,This time is unavaliable
40.78495,-98.72379,This time is unavaliable
40.78492,-98.72385,This time is unavaliable
40.7849,-98.72389,This time is unavaliable
40.78488,-98.72393,This time is unavaliable
40.78478,-98.72406,This time is unavaliable
